epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1557.94,0.12131,1.20289,0.9517,0.998,1,0.995,0.995,0.19269,0.53932,0.26813,0.000181703,0.000181703,0.000181703
92,1576.32,0.14579,1.02338,0.95534,0.99804,1,0.995,0.995,0.18792,0.52138,0.25728,0.0001652,0.0001652,0.0001652
93,1594.89,0.15201,1.30142,1.08548,0.99801,1,0.995,0.995,0.18057,0.51798,0.2474,0.000148696,0.000148696,0.000148696
94,1612.53,0.12547,1.01285,0.95262,0.99798,1,0.995,0.995,0.16411,0.51717,0.22785,0.000132193,0.000132193,0.000132193
95,1630.02,0.08763,0.91,0.93557,0.99797,1,0.995,0.995,0.16367,0.52407,0.2274,0.00011569,0.00011569,0.00011569
96,1647.92,0.17643,0.49761,1.16551,0.998,1,0.995,0.995,0.1637,0.52871,0.22643,9.91865e-05,9.91865e-05,9.91865e-05
97,1665.52,0.05678,0.36574,0.91401,0.99799,1,0.995,0.995,0.16567,0.52297,0.22889,8.26832e-05,8.26832e-05,8.26832e-05
98,1683.04,0.05679,0.35557,0.9029,0.99797,1,0.995,0.995,0.17961,0.5258,0.24631,6.61799e-05,6.61799e-05,6.61799e-05
99,1701.06,0.11438,0.51429,0.95155,0.99796,1,0.995,0.995,0.18719,0.5348,0.25603,4.96766e-05,4.96766e-05,4.96766e-05
100,1719.35,0.05634,0.31264,0.92964,0.99795,1,0.995,0.995,0.19588,0.54802,0.26755,3.31733e-05,3.31733e-05,3.31733e-05
